,date,price,signal,position_size,position,TP,SL,close_price,close_time,pnl
0,2021-06-11 11:07:03.768475,1479.0,buy,1,369.75,1483.5,1473.0,1483.5,2021-06-11 11:13:24.248512,4.36
1,2021-06-11 13:01:17.700157,1490.7,buy,1,372.675,1495.2,1484.7,1483.7,2021-06-11 13:37:50.017611,-7.14
2,2021-06-11 13:24:33.146730,1489.5,buy,1,372.375,1494.0,1483.5,1483.1,2021-06-11 13:54:05.260394,-6.540000000000091
3,2021-06-14 09:19:03.732696,1496.6,buy,1,374.15,1501.1,1490.6,1501.5,2021-06-14 10:18:25.544905,4.760000000000091
4,2021-06-18 13:28:15.186185,1487.9,buy,1,371.975,1492.4,1481.9,1475.5,2021-06-18 14:29:01.571616,-12.540000000000092
5,2021-06-22 09:50:43.864481,1488.5,buy,1,372.125,1493.0,1482.5,1493.0,2021-06-22 10:32:43.599781,4.36
6,2021-06-25 13:53:04.768210,1496.8,buy,1,374.2,1501.3,1490.8,1501.5,2021-06-25 14:27:59.415151,4.560000000000046
7,2021-06-28 09:16:22.975785,1508.9,buy,1,377.225,1513.4,1502.9,1513.4,2021-06-28 09:30:20.052756,4.36
8,2021-06-28 09:36:07.186716,1513.4,buy,1,378.35,1517.9,1507.4,1518.1,2021-06-28 11:14:04.101656,4.559999999999818
9,2021-06-28 10:05:59.593678,1513.3,buy,1,378.325,1517.8,1507.3,1518.1,2021-06-28 11:14:04.101656,4.659999999999955
10,2021-06-28 11:26:23.949324,1517.2,buy,1,379.3,1521.7,1511.2,1522.6,2021-06-28 14:07:10.787763,5.259999999999864
11,2021-07-02 09:25:23.275739,1552.6,buy,1,388.15,1557.1,1546.6,1557.2,2021-07-02 10:04:04.416358,4.460000000000137
12,2021-07-02 09:42:05.163431,1555.5,buy,1,388.875,1560.0,1549.5,1549.2,2021-07-02 13:46:03.630596,-6.439999999999954
13,2021-07-02 10:09:55.529215,1554.9,buy,1,388.725,1559.4,1548.9,1548.5,2021-07-02 13:46:39.029560,-6.540000000000091
14,2021-07-06 09:23:39.386765,1566.0,buy,1,391.5,1570.5,1560.0,1559.2,2021-07-06 13:00:39.839446,-6.939999999999954
15,2021-07-06 11:09:17.711372,1564.8,buy,1,391.2,1569.3,1558.8,1558.8,2021-07-06 13:00:44.622281,-6.14
16,2021-07-06 10:18:29.753810,1563.9,buy,1,390.975,1568.4,1557.9,1557.0,2021-07-06 13:38:02.643589,-7.040000000000091
17,2021-07-08 09:16:05.238793,1527.0,buy,1,381.75,1531.5,1521.0,1531.6,2021-07-08 09:17:17.464399,4.459999999999909
18,2021-07-09 11:04:50.479252,1527.8,buy,1,381.95,1532.3,1521.8,1520.0,2021-07-09 11:14:36.448013,-7.939999999999954
19,2021-07-16 09:48:05.548813,1442.2,buy,1,360.55,1446.7,1436.2,1446.9,2021-07-16 10:35:12.367577,4.560000000000046
20,2021-07-16 10:12:37.875736,1443.6,buy,1,360.9,1448.1,1437.6,1437.1,2021-07-16 10:51:52.042103,-6.64
21,2021-07-22 13:38:12.683542,1431.5,buy,1,357.875,1436.0,1425.5,1436.3,2021-07-22 13:50:56.174681,4.659999999999955
22,2021-07-27 09:20:17.484473,1417.1,buy,1,354.275,1421.6,1411.1,1421.8,2021-07-27 10:07:39.838378,4.560000000000046
23,2021-07-29 09:29:53.191970,1419.8,buy,1,354.95,1424.3,1413.8,1424.4,2021-07-29 10:38:35.895709,4.460000000000137
24,2021-08-03 14:29:20.958703,1468.5,buy,1,367.125,1473.0,1462.5,1468.3,2021-08-03 14:29:20.958703,-0.3400000000000455
25,2021-08-04 09:17:52.576011,1474.4,buy,1,368.6,1478.9,1468.4,1479.4,2021-08-04 10:35:07.878026,4.86
26,2021-08-04 09:40:09.185237,1474.7,buy,1,368.675,1479.2,1468.7,1479.4,2021-08-04 10:35:07.878026,4.560000000000046
27,2021-08-04 11:06:04.394313,1476.1,buy,1,369.025,1480.6,1470.1,1469.2,2021-08-04 13:34:48.862212,-7.039999999999863
28,2021-08-06 09:19:41.230359,1488.5,buy,1,372.125,1493.0,1482.5,1482.0,2021-08-06 11:07:39.973839,-6.64
29,2021-08-06 09:46:05.771086,1487.7,buy,1,371.925,1492.2,1481.7,1480.1,2021-08-06 13:57:06.718120,-7.740000000000136
30,2021-08-10 09:25:51.807948,1503.7,buy,1,375.925,1508.2,1497.7,1495.0,2021-08-10 10:15:45.621956,-8.840000000000046
31,2021-08-10 09:58:43.577514,1502.4,buy,1,375.6,1506.9,1496.4,1495.0,2021-08-10 10:15:45.621956,-7.540000000000091
