,date,price,signal,position_size,position,TP,SL,close_price,close_time,pnl,status
0,2022-01-05 09:54:43.336720,1559.7,buy,0.3,467.90999999999997,1564.7,1556.2,1556.0,2022-01-05 10:46:14.103302,-3.7700000000000453,closed
1,2022-01-05 10:06:04.086767,1559.1,buy,0.3,467.72999999999996,1564.1,1555.6,1555.4,2022-01-05 10:47:05.236542,-3.769999999999818,closed
2,2022-01-05 10:24:27.125826,1558.5,buy,0.3,467.54999999999995,1563.5,1555.0,1554.0,2022-01-05 10:47:27.774774,-4.57,closed
3,2022-01-05 10:42:53.344027,1558.1,buy,0.3,467.42999999999995,1563.1,1554.6,1554.0,2022-01-05 10:47:27.774774,-8.73999999999991,closed
4,2022-01-05 10:42:08.192759,1557.9,sell,0.3,467.37,1552.9,1561.4,1552.0,2022-01-05 13:23:09.518652,5.830000000000091,closed
5,2022-01-05 10:46:14.103302,1556.0,sell,0.3,466.79999999999995,1551.0,1559.5,1550.6,2022-01-05 13:27:00.497544,5.330000000000091,closed
6,2022-01-05 10:47:27.774774,1554.0,sell,0.3,466.2,1549.0,1557.5,1548.7,2022-01-05 13:57:56.497569,5.229999999999954,closed
7,2022-01-05 10:47:27.774774,1554.0,sell,0.3,466.2,1549.0,1557.5,1548.7,2022-01-05 13:57:56.497569,10.459999999999908,closed
8,2022-01-05 10:47:27.774774,1554.0,sell,0.3,466.2,1549.0,1557.5,1548.7,2022-01-05 13:57:56.497569,15.689999999999863,closed
9,2022-01-05 10:47:27.774774,1554.0,sell,0.3,466.2,1549.0,1557.5,1548.7,2022-01-05 13:57:56.497569,20.919999999999817,closed
10,2022-01-05 10:48:04.340995,1554.8,sell,0.3,466.43999999999994,1549.8,1558.3,1548.7,2022-01-05 13:57:56.497569,26.949999999999726,closed
11,2022-01-05 13:23:09.518652,1551.9,sell,0.3,465.57,1546.9,1555.4,1550.5,2022-01-05 14:29:06.714062,1.400000000000091,
12,2022-01-05 13:27:00.497544,1550.5,sell,0.3,465.15,1545.5,1554.0,1550.5,2022-01-05 14:29:06.714062,0.0,
13,2022-01-05 13:57:56.497569,1548.5,sell,0.3,464.54999999999995,1543.5,1552.0,1550.5,2022-01-05 14:29:06.714062,-2.0,
14,2022-01-05 13:57:56.497569,1548.5,sell,0.3,464.54999999999995,1543.5,1552.0,1550.5,2022-01-05 14:29:06.714062,-2.0,
15,2022-01-05 13:57:56.497569,1548.5,sell,0.3,464.54999999999995,1543.5,1552.0,1550.5,2022-01-05 14:29:06.714062,-2.0,
