datetime,balance
2021-06-04 13:25:18.381212,1e+20
2021-06-04 13:25:42.723438,1e+20
2021-06-04 13:28:03.586625,1e+20
2021-06-04 13:30:47.131064,1e+20
2021-06-04 13:31:14.471909,1e+20
2021-06-04 13:31:53.248166,1e+20
2021-06-04 13:32:54.986798,1e+20
2021-06-04 13:34:03.512634,1e+20
2021-06-04 13:34:19.018525,1e+20
2021-06-04 13:35:48.964562,1e+20
2021-06-04 13:35:56.039860,1e+20
2021-06-04 13:36:03.324631,1e+20
2021-06-04 13:36:42.066397,1e+20
2021-06-04 13:39:17.724590,1e+20
2021-06-04 13:40:04.442220,1e+20
2021-06-04 13:41:50.551482,1e+20
2021-06-04 13:41:52.695620,1e+20
2021-06-04 13:42:03.495786,1e+20
2021-06-04 13:42:05.089632,1e+20
2021-06-04 13:43:03.966320,1e+20
2021-06-04 13:43:48.947257,1e+20
2021-06-04 13:43:57.041688,1e+20
2021-06-04 13:45:18.915246,1e+20
2021-06-04 13:45:41.930300,1e+20
2021-06-04 13:46:07.058161,1e+20
2021-06-04 13:46:11.247550,1e+20
2021-06-04 13:46:43.349846,1e+20
2021-06-04 13:46:47.155997,1e+20
2021-06-04 13:46:50.009813,1e+20
2021-06-04 13:46:58.688947,1e+20
2021-06-04 13:47:04.242330,1e+20
2021-06-04 13:47:42.878980,1e+20
2021-06-04 13:49:23.507403,1e+20
2021-06-04 13:49:35.335571,1e+20
2021-06-04 13:50:04.852120,1e+20
2021-06-04 13:51:04.300957,1e+20
2021-06-04 13:51:43.842677,1e+20
2021-06-04 13:52:11.187628,1e+20
2021-06-04 13:52:17.303265,1e+20
2021-06-04 13:52:19.932457,1e+20
2021-06-04 13:53:01.735496,1e+20
2021-06-04 13:55:57.405039,1e+20
2021-06-04 13:56:34.798766,1e+20
2021-06-04 13:58:03.756632,1e+20
2021-06-04 13:58:39.450735,1e+20
2021-06-04 14:03:19.646325,1e+20
2021-06-04 14:03:38.170420,1e+20
2021-06-04 14:03:51.889012,1e+20
2021-06-04 14:03:55.941138,1e+20
2021-06-04 14:03:57.940537,1e+20
2021-06-04 14:04:52.948122,1e+20
2021-06-04 14:04:58.993435,1e+20
2021-06-04 14:05:08.118425,1e+20
2021-06-04 14:05:44.891387,1e+20
2021-06-04 14:05:59.329637,1e+20
2021-06-04 14:06:04.364363,1e+20
2021-06-04 14:06:59.886718,1e+20
2021-06-04 14:11:57.924227,1e+20
2021-06-04 14:13:01.895633,1e+20
2021-06-04 14:13:43.452303,1e+20
2021-06-04 14:14:09.224655,1e+20
2021-06-04 14:17:05.344760,1e+20
2021-06-04 14:22:14.725312,1e+20
2021-06-04 14:23:48.429891,1e+20
2021-06-04 14:27:57.942433,1e+20
2021-06-04 14:28:05.129672,1e+20
2021-06-04 14:28:11.134990,1e+20
