,date,price,signal,position_size,position,TP,SL,close_price,close_time,pnl
0,2021-06-22 09:50:43.864481,1488.5,buy,1,372.125,1494.3,1481.5,1494.3,2021-06-22 10:47:10.363455,5.659999999999955
1,2021-06-25 13:53:04.768210,1496.8,buy,1,374.2,1502.6,1489.8,1509.0,2021-06-25 14:29:55.001331,12.060000000000045
2,2021-07-06 09:23:39.386765,1566.0,buy,1,391.5,1571.8,1559.0,1559.0,2021-07-06 13:00:42.203444,-7.14
3,2021-07-08 09:16:05.238793,1527.0,buy,1,381.75,1532.8,1520.0,1532.8,2021-07-08 09:30:03.314715,5.659999999999955
4,2021-07-09 11:04:50.479252,1527.8,buy,1,381.95,1533.6,1520.8,1520.0,2021-07-09 11:14:36.448013,-7.939999999999954
5,2021-07-27 09:20:17.484473,1417.1,buy,1,354.275,1422.8999999999999,1410.1,1423.2,2021-07-27 10:18:04.777137,5.960000000000137
6,2021-07-29 09:29:53.191970,1419.8,buy,1,354.95,1425.6,1412.8,1428.0,2021-07-29 14:17:36.117757,8.060000000000045
7,2021-08-16 09:15:22.974549,1487.1,buy,1,371.775,1492.8999999999999,1480.1,1493.1,2021-08-16 10:40:04.236075,5.86
8,2021-08-27 14:21:06.481427,1415.1,buy,1,353.775,1420.8999999999999,1408.1,1421.9,2021-08-27 14:24:24.329031,6.660000000000182
9,2021-09-06 09:34:06.592465,1436.4,buy,1,359.1,1442.2,1429.4,1442.2,2021-09-06 14:06:54.530358,5.659999999999955
10,2021-09-15 13:23:45.761256,1442.8,buy,1,360.7,1448.6,1435.8,1448.8,2021-09-15 14:11:43.021566,5.86
11,2021-09-17 13:26:50.481461,1453.3,buy,1,363.325,1459.1,1446.3,1456.0,2021-09-17 14:29:11.210492,2.5600000000000454
12,2021-09-29 13:23:03.504752,1446.3,buy,1,361.575,1452.1,1439.3,1439.3,2021-09-29 14:09:50.303491,-7.14
13,2021-10-08 10:12:16.525354,1463.1,buy,1,365.775,1468.8999999999999,1456.1,1469.0,2021-10-08 14:13:44.490621,5.760000000000091
14,2021-10-18 13:00:51.530166,1519.3,buy,1,379.825,1525.1,1512.3,1511.7,2021-10-18 14:14:44.309424,-7.739999999999909
15,2021-10-20 09:37:40.105446,1514.6,buy,1,378.65,1520.3999999999999,1507.6,1506.6,2021-10-20 13:33:15.814062,-8.14
