,date,price,signal,position_size,position,TP,SL,close_price,close_time,pnl
0,2021-06-21 09:43:07.665803,1480.1,buy,1,370.025,1485.6,1477.1,1485.7,2021-06-21 10:07:49.738207,5.100000000000136
1,2021-06-22 14:13:26.416982,1492.5,buy,1,373.125,1498.0,1489.5,1498.0,2021-06-23 09:24:43.401623,5.0
2,2021-06-23 09:18:05.817768,1495.5,buy,1,373.875,1501.0,1492.5,1501.4,2021-06-23 10:11:15.773704,5.400000000000091
3,2021-07-05 11:18:03.559283,1546.8,buy,1,386.7,1552.3,1543.8,1543.7,2021-07-05 13:08:50.192887,-3.599999999999909
4,2021-07-06 13:10:46.007782,1561.9,buy,1,390.475,1567.4,1558.9,1557.0,2021-07-06 13:38:02.643589,-5.400000000000091
5,2021-07-21 14:26:13.310393,1401.1,buy,1,350.275,1406.6,1398.1,1404.8,2021-07-21 14:29:10.886351,3.2000000000000455
6,2021-07-22 09:19:03.125736,1403.0,buy,1,350.75,1408.5,1400.0,1408.6,2021-07-22 09:34:05.352837,5.099999999999909
7,2021-07-23 10:50:54.868016,1423.5,buy,1,355.875,1429.0,1420.5,1420.5,2021-07-23 11:00:02.822279,-3.5
8,2021-07-28 13:00:21.994069,1414.2,buy,1,353.55,1419.7,1411.2,1411.0,2021-07-28 13:30:06.492589,-3.7000000000000455
9,2021-07-29 09:18:07.070298,1420.0,buy,1,355.0,1425.5,1417.0,1416.9,2021-07-29 13:15:35.739736,-3.599999999999909
10,2021-08-03 09:19:49.332201,1450.1,buy,1,362.525,1455.6,1447.1,1456.5,2021-08-03 09:58:03.342738,5.900000000000091
11,2021-08-05 09:17:04.775693,1467.0,buy,1,366.75,1472.5,1464.0,1472.5,2021-08-05 09:45:51.415888,5.0
12,2021-08-05 09:25:07.422706,1470.3,buy,1,367.575,1475.8,1467.3,1476.0,2021-08-05 10:35:30.118783,5.2000000000000455
13,2021-08-05 11:26:02.817502,1472.5,buy,1,368.125,1478.0,1469.5,1478.9,2021-08-05 13:24:05.526996,5.900000000000091
14,2021-08-05 13:01:16.824383,1472.7,buy,1,368.175,1478.2,1469.7,1478.9,2021-08-05 13:24:05.526996,5.7000000000000455
15,2021-08-10 13:00:36.515817,1496.6,buy,1,374.15,1502.1,1493.6,1493.4,2021-08-10 13:10:05.036323,-3.699999999999818
16,2021-08-10 10:22:06.440813,1495.2,buy,1,373.8,1500.7,1492.2,1490.5,2021-08-10 13:12:08.977642,-5.2000000000000455
17,2021-08-10 11:20:18.265314,1493.9,buy,1,373.475,1499.4,1490.9,1490.5,2021-08-10 13:12:08.977642,-3.900000000000091
18,2021-08-26 13:01:18.247007,1425.5,buy,1,356.375,1431.0,1422.5,1421.4,2021-08-26 13:40:04.765471,-4.599999999999909
19,2021-08-31 13:46:08.231832,1426.9,buy,1,356.725,1432.4,1423.9,1423.9,2021-08-31 14:10:04.770343,-3.5
20,2021-09-01 11:28:34.404853,1433.8,buy,1,358.45,1439.3,1430.8,1430.4,2021-09-01 13:20:18.784485,-3.8999999999998636
21,2021-09-01 10:24:15.458246,1430.5,buy,1,357.625,1436.0,1427.5,1426.6,2021-09-01 13:28:08.260402,-4.400000000000091
22,2021-09-06 11:21:43.947966,1434.6,buy,1,358.65,1440.1,1431.6,1440.2,2021-09-06 13:52:20.869489,5.100000000000136
23,2021-09-08 09:16:06.859649,1441.1,buy,1,360.275,1446.6,1438.1,1437.3,2021-09-08 09:53:35.407825,-4.2999999999999545
24,2021-09-13 13:00:56.545304,1447.4,buy,1,361.85,1452.9,1444.4,1443.6,2021-09-13 13:35:34.581285,-4.300000000000182
25,2021-09-13 09:44:06.945561,1445.8,buy,1,361.45,1451.3,1442.8,1441.5,2021-09-13 13:39:11.016136,-4.7999999999999545
26,2021-09-13 10:36:03.575092,1446.4,buy,1,361.6,1451.9,1443.4,1441.5,2021-09-13 13:39:11.016136,-5.400000000000091
27,2021-09-16 14:15:57.446173,1449.9,buy,1,362.475,1455.4,1446.9,1444.3,2021-09-16 14:29:07.433928,-6.100000000000136
28,2021-09-17 10:11:05.714312,1448.8,buy,1,362.2,1454.3,1445.8,1454.4,2021-09-17 13:14:06.664074,5.100000000000136
29,2021-09-17 11:25:15.600271,1449.3,buy,1,362.325,1454.8,1446.3,1454.9,2021-09-17 13:34:06.902602,5.100000000000136
30,2021-09-23 14:25:39.147684,1448.4,buy,1,362.1,1453.9,1445.4,1454.0,2021-09-23 14:28:13.402962,5.099999999999909
31,2021-09-30 09:24:45.629609,1451.2,buy,1,362.8,1456.7,1448.2,1457.2,2021-09-30 10:28:10.567145,5.5
32,2021-10-13 11:20:14.236177,1513.6,buy,1,378.4,1519.1,1510.6,1509.2,2021-10-13 13:25:38.582777,-4.899999999999864
33,2021-10-13 14:16:56.157283,1514.0,buy,1,378.5,1519.5,1511.0,1511.0,2021-10-13 14:17:20.747016,-3.5
34,2021-10-18 14:13:54.565976,1513.7,buy,1,378.425,1519.2,1510.7,1510.3,2021-10-18 14:18:45.911747,-3.900000000000091
35,2021-10-27 09:43:09.774049,1489.1,buy,1,372.275,1494.6,1486.1,1494.6,2021-10-27 10:32:08.774011,5.0
