datetime,equity
2021-06-15 13:00:44.095399,1e+20
2021-06-15 13:00:46.298826,1e+20
2021-06-15 13:00:49.748731,1e+20
2021-06-15 13:03:02.478768,1e+20
2021-06-15 13:03:10.786206,1e+20
2021-06-15 13:03:45.148231,1e+20
2021-06-15 13:08:07.562418,1e+20
2021-06-15 13:10:10.433522,1e+20
2021-06-15 13:10:25.585104,1e+20
2021-06-15 13:12:23.780035,1e+20
2021-06-15 13:13:33.046801,1e+20
2021-06-15 13:13:45.328207,1e+20
2021-06-15 13:15:57.515428,1e+20
2021-06-15 13:15:59.639394,1e+20
2021-06-15 13:16:03.109488,1e+20
2021-06-15 13:17:03.455385,1e+20
2021-06-15 13:17:29.147450,1e+20
2021-06-15 13:17:53.175025,1e+20
2021-06-15 13:21:50.264691,1e+20
2021-06-15 13:22:33.285461,1e+20
2021-06-15 13:22:54.074302,1e+20
2021-06-15 13:24:44.729644,1e+20
2021-06-15 13:25:27.876482,1e+20
2021-06-15 13:25:54.740800,1e+20
2021-06-15 13:26:03.006727,1e+20
2021-06-15 13:29:38.149707,1e+20
2021-06-15 13:29:40.366796,1e+20
2021-06-15 13:31:13.199197,1e+20
2021-06-15 13:31:19.832218,1e+20
2021-06-15 13:31:49.585698,1e+20
2021-06-15 13:32:00.263340,1e+20
2021-06-15 13:33:10.298331,1e+20
2021-06-15 13:33:40.616568,1e+20
2021-06-15 13:33:47.963383,1e+20
2021-06-15 13:33:55.128809,1e+20
2021-06-15 13:34:18.176604,1e+20
2021-06-15 13:35:52.013240,1e+20
2021-06-15 13:36:19.089869,1e+20
2021-06-15 13:36:58.464433,1e+20
2021-06-15 13:37:02.114883,1e+20
2021-06-15 13:37:41.681435,1e+20
2021-06-15 13:40:07.643513,1e+20
2021-06-15 13:41:23.872876,1e+20
2021-06-15 13:42:03.926084,1e+20
2021-06-15 13:42:39.881409,1e+20
2021-06-15 13:42:55.117963,1e+20
2021-06-15 13:44:03.854155,1e+20
2021-06-15 13:45:03.366400,1e+20
2021-06-15 13:45:20.806967,1e+20
2021-06-15 13:45:36.694171,1e+20
2021-06-15 13:47:07.801264,1e+20
2021-06-15 13:47:15.677953,1e+20
2021-06-15 13:47:29.975499,1e+20
2021-06-15 13:47:34.436866,1e+20
2021-06-15 13:47:43.394273,1e+20
2021-06-15 13:47:45.330298,1e+20
2021-06-15 13:51:03.740341,1e+20
2021-06-15 13:51:05.469750,1e+20
2021-06-15 13:53:11.568893,1e+20
2021-06-15 13:54:37.911621,1e+20
2021-06-15 13:57:02.930279,1e+20
2021-06-15 13:57:08.296756,1e+20
2021-06-15 13:57:11.750726,1e+20
2021-06-15 13:59:57.904043,1e+20
2021-06-15 14:00:04.166157,1e+20
2021-06-15 14:01:21.504610,1e+20
2021-06-15 14:01:49.131350,1e+20
2021-06-15 14:02:30.696711,1e+20
2021-06-15 14:05:39.888574,1e+20
2021-06-15 14:05:54.044289,1e+20
2021-06-15 14:07:12.114803,1e+20
2021-06-15 14:07:31.329662,1e+20
2021-06-15 14:10:04.578716,1e+20
2021-06-15 14:10:12.533332,1e+20
2021-06-15 14:14:35.709635,1e+20
2021-06-15 14:16:49.042449,1e+20
2021-06-15 14:18:49.663551,1e+20
2021-06-15 14:18:55.681217,1e+20
2021-06-15 14:20:03.603303,1e+20
2021-06-15 14:23:28.192420,1e+20
2021-06-15 14:24:12.393003,1e+20
2021-06-15 14:25:03.107605,1e+20
2021-06-15 14:25:32.729459,1e+20
2021-06-15 14:25:42.147953,1e+20
2021-06-15 14:27:02.364828,1e+20
2021-06-15 14:27:30.590628,1e+20
2021-06-16 09:00:37.830710,1e+20
2021-06-16 09:00:50.336913,1e+20
