number,value,datetime_start,datetime_complete,duration,params_ADX,params_ATR,params_Bollinger Bands,params_CCI,params_Donchian,params_Force Index,params_Keltner,params_MA20,params_MA5,params_MACD,params_Momentum,params_MomentumBBL,params_OBV,params_PPO,params_PSAR,params_ROC,params_RSI,params_SL,params_SO,params_TP,params_TSI,params_UO,params_VWAP,params_Volume_MA,params_Vortex,params_Williams R,state
27,,2024-12-25 20:18:23.625498,2024-12-25 20:18:24.017949,0 days 00:00:00.392451,True,True,False,False,False,True,False,False,False,True,True,False,True,False,True,True,False,2.0,False,3.5,False,True,True,True,False,True,FAIL
28,,2024-12-25 20:18:23.836407,2024-12-25 20:18:24.218560,0 days 00:00:00.382153,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,4.5,True,4.0,False,True,True,True,True,True,FAIL
29,,2024-12-25 20:18:24.035874,2024-12-25 20:18:24.387637,0 days 00:00:00.351763,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False,2.5,False,2.0,True,False,True,True,False,True,FAIL
30,,2024-12-25 20:18:46.400014,2024-12-25 20:18:46.662520,0 days 00:00:00.262506,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,True,True,3.5,False,1.5,False,True,False,True,True,False,FAIL
31,,2024-12-25 20:18:46.402744,2024-12-25 20:18:46.830184,0 days 00:00:00.427440,True,True,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,3.0,False,2.0,False,False,True,False,False,True,FAIL
32,,2024-12-25 20:18:46.710155,2024-12-25 20:18:47.087902,0 days 00:00:00.377747,False,True,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False,2.0,True,4.0,True,False,True,True,False,False,FAIL
33,,2024-12-25 20:18:46.846911,2024-12-25 20:18:47.269269,0 days 00:00:00.422358,True,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,5.0,True,4.0,False,False,True,False,True,True,FAIL
34,,2024-12-25 20:18:47.143643,2024-12-25 20:18:47.479816,0 days 00:00:00.336173,False,True,True,False,True,False,False,True,True,True,False,True,False,True,True,True,False,2.5,True,3.5,False,False,False,False,False,True,FAIL
35,,2024-12-25 20:18:47.287752,2024-12-25 20:18:47.675684,0 days 00:00:00.387932,True,False,True,True,False,False,False,True,True,True,True,True,True,False,True,True,False,4.5,True,4.5,True,True,False,True,False,True,FAIL
36,,2024-12-25 20:18:47.492813,2024-12-25 20:18:47.873121,0 days 00:00:00.380308,False,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,False,1.0,False,1.5,False,False,False,True,True,True,FAIL
37,,2024-12-25 20:18:47.683194,2024-12-25 20:18:48.070549,0 days 00:00:00.387355,False,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,1.5,False,1.0,False,True,True,False,True,True,FAIL
38,,2024-12-25 20:18:47.885178,2024-12-25 20:18:48.271341,0 days 00:00:00.386163,False,False,False,False,True,True,True,False,True,True,True,False,False,True,False,False,False,4.5,False,5.0,False,False,True,False,False,True,FAIL
39,,2024-12-25 20:18:48.080452,2024-12-25 20:18:48.436750,0 days 00:00:00.356298,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,True,True,2.5,True,5.0,False,True,True,False,True,True,FAIL
