,date,price,signal,position_size,position,TP,SL,close_price,close_time,pnl,status
0,2022-01-05 09:54:43.336720,1559.7,buy,0.3,467.90999999999997,1564.7,1558.2,1558.2,2022-01-05 10:11:04.304811,-1.57,closed
1,2022-01-05 10:47:27.774774,1554.0,sell,0.3,466.2,1549.0,1555.5,1555.5,2022-01-05 10:56:04.333511,-1.57,closed
2,2022-01-05 10:47:27.774774,1554.0,sell,0.3,466.2,1549.0,1555.5,1555.5,2022-01-05 10:56:04.333511,-3.14,closed
3,2022-01-05 11:01:07.083637,1555.0,sell,0.3,466.5,1550.0,1556.5,1557.3,2022-01-05 11:21:34.981824,-2.3699999999999544,closed
4,2022-01-05 11:03:44.514678,1555.1,sell,0.3,466.53,1550.1,1556.6,1557.3,2022-01-05 11:21:34.981824,-4.640000000000001,closed
5,2022-01-05 11:21:34.981824,1557.3,buy,0.3,467.18999999999994,1562.3,1555.8,1555.8,2022-01-05 11:28:25.929945,-1.57,closed
6,2022-01-05 11:23:05.835841,1557.2,buy,0.3,467.15999999999997,1562.2,1555.7,1555.4,2022-01-05 13:01:04.167125,-1.8699999999999546,closed
7,2022-01-05 10:42:08.192759,1557.9,sell,0.3,467.37,1552.9,1559.4,1552.0,2022-01-05 13:23:09.518652,5.830000000000091,closed
8,2022-01-05 10:46:14.103302,1556.0,sell,0.3,466.79999999999995,1551.0,1557.5,1550.6,2022-01-05 13:27:00.497544,5.330000000000091,closed
9,2022-01-05 13:27:00.497544,1550.5,sell,0.3,465.15,1545.5,1552.0,1552.4,2022-01-05 13:35:09.903694,-1.970000000000091,closed
10,2022-01-05 13:23:09.518652,1551.9,sell,0.3,465.57,1546.9,1553.4,1553.5,2022-01-05 13:42:05.612356,-1.6699999999999091,closed
11,2022-01-05 13:10:18.266996,1553.8,sell,0.3,466.14,1548.8,1555.3,1548.7,2022-01-05 13:57:56.497569,5.029999999999909,closed
12,2022-01-05 13:10:18.266996,1553.8,sell,0.3,466.14,1548.8,1555.3,1548.7,2022-01-05 13:57:56.497569,10.059999999999818,closed
13,2022-01-05 14:08:46.520775,1550.1,sell,0.3,465.03,1545.1,1551.6,1551.7,2022-01-05 14:17:37.921214,-1.6700000000001365,closed
14,2022-01-05 14:08:50.707471,1550.1,sell,0.3,465.03,1545.1,1551.6,1551.7,2022-01-05 14:17:37.921214,-3.340000000000273,closed
15,2022-01-05 14:19:11.711664,1549.3,sell,0.3,464.78999999999996,1544.3,1550.8,1550.8,2022-01-05 14:28:03.358120,-1.57,closed
16,2022-01-05 14:19:11.711664,1549.3,sell,0.3,464.78999999999996,1544.3,1550.8,1550.8,2022-01-05 14:28:03.358120,-3.14,closed
17,2022-01-05 13:57:20.528866,1551.3,sell,0.3,465.39,1546.3,1552.8,1550.5,2022-01-05 14:29:06.714062,0.7999999999999545,
