,date,price,signal,position_size,position,TP,SL,close_price,close_time,pnl
0,2021-06-18 13:28:15.186185,1487.9,buy,2,743.95,1489.6000000000001,1483.9,1491.2,2021-06-18 13:37:52.890694,6.319999999999909
1,2021-06-25 13:53:04.768210,1496.8,buy,2,748.4,1498.5,1492.8,1499.5,2021-06-25 13:57:42.545385,5.120000000000091
2,2021-07-06 09:23:39.386765,1566.0,buy,2,783.0,1567.7,1562.0,1562.0,2021-07-06 09:44:56.779020,-8.28
3,2021-07-09 11:04:50.479252,1527.8,buy,2,763.9,1529.5,1523.8,1520.0,2021-07-09 11:14:36.448013,-15.879999999999908
4,2021-07-14 14:23:40.902187,1426.1,buy,2,713.05,1427.8,1422.1,1420.5,2021-07-14 14:25:00.725046,-11.479999999999817
5,2021-07-20 14:03:30.963889,1394.3,buy,2,697.15,1396.0,1390.3,1397.5,2021-07-20 14:04:05.400312,6.120000000000091
6,2021-07-22 13:38:12.683542,1431.5,buy,2,715.75,1433.2,1427.5,1433.6,2021-07-22 13:42:44.440421,3.919999999999818
7,2021-07-29 09:29:53.191970,1419.8,buy,2,709.9,1421.5,1415.8,1422.2,2021-07-29 09:44:09.964146,4.520000000000182
8,2021-08-19 14:11:05.138993,1494.6,buy,2,747.3,1496.3,1490.6,1498.3,2021-08-19 14:11:46.214690,7.120000000000091
9,2021-08-27 13:28:03.714397,1409.8,buy,2,704.9,1411.5,1405.8,1416.6,2021-08-27 13:29:54.670478,13.31999999999991
10,2021-09-28 14:02:54.293344,1440.6,buy,2,720.3,1442.3,1436.6,1442.7,2021-09-28 14:12:08.162109,3.9200000000002726
11,2021-09-29 13:23:03.504752,1446.3,buy,2,723.15,1448.0,1442.3,1450.5,2021-09-29 13:41:34.992331,8.120000000000092
12,2021-10-04 14:14:07.299918,1441.4,buy,2,720.7,1443.1000000000001,1437.4,1439.7,2021-10-04 14:29:05.953809,-3.680000000000091
13,2021-10-08 10:12:16.525354,1463.1,buy,2,731.55,1464.8,1459.1,1467.0,2021-10-08 14:12:11.341798,7.520000000000182
14,2021-10-08 14:21:34.485430,1473.2,buy,2,736.6,1474.9,1469.2,1476.0,2021-10-08 14:29:30.749275,5.319999999999909
15,2021-10-25 11:28:05.485779,1489.3,buy,2,744.65,1491.0,1485.3,1484.7,2021-10-25 13:26:49.698264,-9.479999999999817
16,2021-10-27 11:28:22.259410,1512.0,buy,2,756.0,1513.7,1508.0,1513.7,2021-10-27 11:30:05.893692,3.1200000000000907
