,date,price,signal,position_size,position,TP,SL,close_price,close_time,pnl
0,2021-06-11 10:32:35.927173,1469.3,buy,1,367.325,1474.3,1461.8,1476.3,2021-06-11 11:00:00.082345,6.5
1,2021-06-11 11:02:14.012845,1476.3,buy,1,369.075,1481.3,1468.8,1483.3,2021-06-11 11:12:03.128301,6.5
2,2021-06-11 13:01:17.700157,1490.7,buy,1,372.675,1495.7,1483.2,1483.1,2021-06-11 13:54:05.260394,-8.100000000000136
3,2021-06-14 09:35:19.004646,1494.1,buy,1,373.525,1499.1,1486.6,1499.2,2021-06-14 10:16:03.955771,4.600000000000136
4,2021-06-14 09:19:03.732696,1496.6,buy,1,374.15,1501.6,1489.1,1502.8,2021-06-14 10:19:03.011603,5.7000000000000455
5,2021-06-14 10:31:37.828500,1503.0,buy,1,375.75,1508.0,1495.5,1508.3,2021-06-14 13:13:04.053452,4.7999999999999545
6,2021-06-14 13:00:23.552054,1505.0,buy,1,376.25,1510.0,1497.5,1497.4,2021-06-14 13:56:32.834123,-8.099999999999909
7,2021-06-14 13:37:18.649085,1502.6,buy,1,375.65,1507.6,1495.1,1494.5,2021-06-14 14:03:07.665121,-8.599999999999909
8,2021-06-15 09:30:09.037378,1498.5,buy,1,374.625,1503.5,1491.0,1490.2,2021-06-15 10:16:10.081757,-8.799999999999955
9,2021-06-18 10:30:55.790107,1482.4,buy,1,370.6,1487.4,1474.9,1487.5,2021-06-18 11:26:08.627702,4.599999999999909
10,2021-06-18 13:00:55.010978,1487.3,buy,1,371.825,1492.3,1479.8,1475.5,2021-06-18 14:29:01.571616,-12.299999999999955
11,2021-06-18 13:38:41.600372,1490.9,buy,1,372.725,1495.9,1483.4,1475.5,2021-06-18 14:29:01.571616,-15.900000000000091
12,2021-06-21 10:05:18.323571,1484.3,buy,1,371.075,1489.3,1476.8,1475.9,2021-06-21 13:05:38.254811,-8.899999999999864
13,2021-06-21 11:05:33.678924,1484.0,buy,1,371.0,1489.0,1476.5,1475.9,2021-06-21 13:05:38.254811,-8.599999999999909
14,2021-06-22 10:32:43.599781,1491.9,buy,1,372.975,1496.9,1484.4,1498.6,2021-06-22 11:29:54.269092,6.199999999999818
15,2021-06-22 11:03:59.877234,1495.1,buy,1,373.775,1500.1,1487.6,1500.3,2021-06-22 13:24:01.957965,4.7000000000000455
16,2021-06-22 13:30:28.131123,1498.1,buy,1,374.525,1503.1,1490.6,1503.2,2021-06-23 10:25:42.005505,4.600000000000136
17,2021-06-23 10:06:21.231885,1498.0,buy,1,374.5,1503.0,1490.5,1503.2,2021-06-23 10:25:42.005505,4.7000000000000455
18,2021-06-22 13:22:06.323963,1499.0,buy,1,374.75,1504.0,1491.5,1491.2,2021-06-23 11:06:06.296160,-8.299999999999955
19,2021-06-23 09:31:07.926482,1498.6,buy,1,374.65,1503.6,1491.1,1490.3,2021-06-23 11:06:38.331621,-8.799999999999955
20,2021-06-25 14:04:37.263485,1498.9,buy,1,374.725,1503.9,1491.4,1509.0,2021-06-25 14:29:55.001331,9.599999999999909
21,2021-06-28 09:16:22.975785,1508.9,buy,1,377.225,1513.9,1501.4,1513.9,2021-06-28 09:36:07.186716,4.5
