datetime,balance
2021-06-09 13:00:40.265524,15000.0
2021-06-09 13:00:40.581001,15000.0
2021-06-09 13:00:50.741091,15000.0
2021-06-09 13:02:24.338673,15000.0
2021-06-09 13:04:19.512663,15000.0
2021-06-09 13:06:14.616637,15000.0
2021-06-09 13:06:48.172772,15000.0
2021-06-09 13:07:37.137232,15000.0
2021-06-09 13:11:50.328498,15000.0
2021-06-09 13:16:03.913550,15000.0
2021-06-09 13:16:15.194268,15000.0
2021-06-09 13:18:04.909867,15000.0
2021-06-09 13:18:18.511192,15000.0
2021-06-09 13:19:54.057504,15000.0
2021-06-09 13:19:56.553214,15000.0
2021-06-09 13:21:21.979957,15000.0
2021-06-09 13:21:39.818591,15000.0
2021-06-09 13:22:06.131776,15000.0
2021-06-09 13:23:03.387556,15000.0
2021-06-09 13:23:05.090682,15000.0
2021-06-09 13:23:10.146727,15000.0
2021-06-09 13:23:57.254063,15000.0
2021-06-09 13:24:02.567847,15000.0
2021-06-09 13:30:24.534704,15000.0
2021-06-09 13:33:05.473078,15000.0
2021-06-09 13:33:19.383013,15000.0
2021-06-09 13:34:53.760068,15000.0
2021-06-09 13:39:37.875699,15000.0
2021-06-09 13:40:31.289646,15000.0
2021-06-09 13:47:52.809654,15000.0
2021-06-09 13:48:03.135285,15000.0
2021-06-09 13:50:17.535752,15000.0
2021-06-09 13:52:03.626255,15000.0
2021-06-09 13:52:03.917832,15000.0
2021-06-09 13:57:04.346273,15000.0
2021-06-09 13:57:43.436208,15000.0
2021-06-09 14:02:52.837729,15000.0
2021-06-09 14:02:59.298524,15000.0
2021-06-09 14:03:15.379300,15000.0
2021-06-09 14:04:04.449023,15000.0
2021-06-09 14:05:21.583790,15000.0
2021-06-09 14:06:03.537314,15000.0
2021-06-09 14:07:09.635028,15000.0
2021-06-09 14:10:08.674796,15000.0
2021-06-09 14:11:56.966857,15000.0
2021-06-09 14:12:59.004851,15000.0
2021-06-09 14:13:03.853516,15000.0
2021-06-09 14:13:55.750273,15000.0
2021-06-09 14:14:35.571565,15000.0
2021-06-09 14:15:33.093565,15000.0
2021-06-09 14:18:42.473099,15000.0
2021-06-09 14:19:03.309829,15000.0
2021-06-09 14:21:09.205185,15000.0
2021-06-09 14:22:51.214923,15000.0
2021-06-09 14:23:21.658928,15000.0
2021-06-09 14:26:19.494927,15000.0
2021-06-10 09:00:22.681921,15000.0
2021-06-10 09:01:03.873033,15000.0
2021-06-10 09:01:22.958642,15000.0
2021-06-10 09:01:30.997579,15000.0
2021-06-10 09:01:34.740854,15000.0
2021-06-10 09:01:34.760874,15000.0
2021-06-10 09:01:36.877833,15000.0
2021-06-10 09:01:54.999156,15000.0
2021-06-10 09:02:17.176634,15000.0
2021-06-10 09:02:39.134186,15000.0
2021-06-10 09:03:06.941503,15000.0
2021-06-10 09:07:47.400472,15000.0
2021-06-10 09:12:04.458769,15000.0
2021-06-10 09:13:04.624987,15000.0
2021-06-10 09:14:44.992929,15000.0
2021-06-10 09:14:53.080984,15000.0
2021-06-10 09:15:40.589068,15000.0
2021-06-10 09:15:47.554066,15000.0
2021-06-10 09:16:04.465836,15000.0
2021-06-10 09:18:05.655900,15000.0
2021-06-10 09:18:13.527850,15000.0
2021-06-10 09:19:07.496940,15000.0
2021-06-10 09:22:53.518122,15000.0
2021-06-10 09:23:15.581153,15000.0
2021-06-10 09:23:31.350508,15000.0
2021-06-10 09:23:38.981039,15000.0
2021-06-10 09:23:41.796915,15000.0
2021-06-10 09:24:19.015151,15000.0
2021-06-10 09:25:41.614729,15000.0
2021-06-10 09:26:06.593930,15000.0
2021-06-10 09:27:11.583882,15000.0
2021-06-10 09:27:48.912239,15000.0
2021-06-10 09:30:03.579144,15000.0
2021-06-10 09:30:04.464428,15000.0
2021-06-10 09:30:07.713347,15000.0
2021-06-10 09:32:03.919996,15000.0
2021-06-10 09:34:06.526377,15000.0
2021-06-10 09:34:29.002575,15000.0
2021-06-10 09:36:35.243947,15000.0
2021-06-10 09:37:02.634713,15000.0
2021-06-10 09:37:06.864729,15000.0
2021-06-10 09:38:04.323201,15000.0
2021-06-10 09:38:11.750223,15000.0
2021-06-10 09:38:35.445089,15000.0
2021-06-10 09:39:02.239564,15000.0
2021-06-10 09:39:31.589501,15000.0
2021-06-10 09:39:57.630984,15000.0
2021-06-10 09:40:37.499052,15000.0
2021-06-10 09:41:03.361295,15000.0
2021-06-10 09:41:08.785308,15000.0
2021-06-10 09:41:20.152189,15000.0
2021-06-10 09:41:21.042839,15000.0
2021-06-10 09:41:51.950423,15000.0
2021-06-10 09:42:02.867359,15000.0
2021-06-10 09:42:03.876357,15000.0
2021-06-10 09:42:32.356437,15000.0
2021-06-10 09:43:04.190288,15000.0
2021-06-10 09:43:27.451726,15000.0
2021-06-10 09:43:49.343150,15000.0
2021-06-10 09:44:27.481353,15000.0
2021-06-10 09:44:55.232703,15000.0
2021-06-10 09:45:04.493772,15000.0
2021-06-10 09:45:49.571374,15000.0
2021-06-10 09:46:15.279677,15000.0
2021-06-10 09:47:05.047811,15000.0
2021-06-10 09:48:06.015907,15000.0
2021-06-10 09:49:43.075794,15000.0
2021-06-10 09:49:55.479519,15000.0
2021-06-10 09:50:03.472219,15000.0
2021-06-10 09:51:51.928427,15000.0
2021-06-10 09:53:10.132074,15000.0
2021-06-10 09:53:44.036858,15000.0
2021-06-10 09:53:59.530240,15000.0
2021-06-10 09:55:21.467368,15000.0
2021-06-10 09:56:04.397036,15000.0
2021-06-10 09:56:56.044441,15000.0
2021-06-10 09:57:28.313690,15000.0
2021-06-10 09:57:29.564470,15000.0
2021-06-10 09:59:08.014131,15000.0
2021-06-10 09:59:21.747291,15000.0
2021-06-10 10:00:58.275004,15000.0
2021-06-10 10:01:02.919890,15000.0
2021-06-10 10:01:25.844901,15000.0
2021-06-10 10:03:26.415838,15000.0
2021-06-10 10:04:24.088795,15000.0
2021-06-10 10:05:03.800135,15000.0
2021-06-10 10:05:10.993188,15000.0
2021-06-10 10:07:19.670353,15000.0
2021-06-10 10:07:41.733462,15000.0
2021-06-10 10:08:04.217622,15000.0
2021-06-10 10:10:04.244177,15000.0
2021-06-10 10:10:38.317339,15000.0
2021-06-10 10:12:31.973456,15000.0
2021-06-10 10:12:58.787610,15000.0
