,date,price,signal,position_size,position,TP,SL,close_price,close_time,pnl
0,2021-06-22 09:50:43.864481,1488.5,buy,1,372.125,1491.7,1483.5,1492.7,2021-06-22 10:29:09.707449,4.060000000000046
1,2021-06-25 13:53:04.768210,1496.8,buy,1,374.2,1500.0,1491.8,1500.5,2021-06-25 14:23:18.985894,3.5600000000000454
2,2021-07-06 09:23:39.386765,1566.0,buy,1,391.5,1569.2,1561.0,1561.0,2021-07-06 09:51:04.121191,-5.14
3,2021-07-08 09:16:05.238793,1527.0,buy,1,381.75,1530.2,1522.0,1531.6,2021-07-08 09:17:17.464399,4.459999999999909
4,2021-07-09 11:04:50.479252,1527.8,buy,1,381.95,1531.0,1522.8,1520.0,2021-07-09 11:14:36.448013,-7.939999999999954
5,2021-07-27 09:20:17.484473,1417.1,buy,1,354.275,1420.3,1412.1,1420.3,2021-07-27 09:46:21.437941,3.0600000000000454
6,2021-07-29 09:29:53.191970,1419.8,buy,1,354.95,1423.0,1414.8,1423.0,2021-07-29 09:47:09.427394,3.0600000000000454
7,2021-08-16 09:15:22.974549,1487.1,buy,1,371.775,1490.3,1482.1,1491.1,2021-08-16 10:33:25.909464,3.86
8,2021-08-27 14:21:06.481427,1415.1,buy,1,353.775,1418.3,1410.1,1420.6,2021-08-27 14:22:06.188857,5.36
9,2021-09-06 09:34:06.592465,1436.4,buy,1,359.1,1439.6000000000001,1431.4,1439.9,2021-09-06 13:48:05.972631,3.36
10,2021-09-15 13:23:45.761256,1442.8,buy,1,360.7,1446.0,1437.8,1447.1,2021-09-15 13:49:16.407280,4.159999999999955
11,2021-09-17 13:26:50.481461,1453.3,buy,1,363.325,1456.5,1448.3,1456.6,2021-09-17 13:57:50.101564,3.1599999999999544
12,2021-09-29 13:23:03.504752,1446.3,buy,1,361.575,1449.5,1441.3,1450.5,2021-09-29 13:41:34.992331,4.060000000000046
13,2021-10-08 10:12:16.525354,1463.1,buy,1,365.775,1466.3,1458.1,1467.0,2021-10-08 14:12:11.341798,3.760000000000091
14,2021-10-18 13:00:51.530166,1519.3,buy,1,379.825,1522.5,1514.3,1514.2,2021-10-18 14:04:23.663244,-5.239999999999909
15,2021-10-20 09:37:40.105446,1514.6,buy,1,378.65,1517.8,1509.6,1509.0,2021-10-20 13:15:05.182152,-5.739999999999909
